match,winner,loser
Team nzKEuQx vs Team avkZKsF,Team avkZKsF,Team nzKEuQx
Team PuLTlMy vs Team NxbxepJ,Team NxbxepJ,Team PuLTlMy
Team avkZKsF vs Team yXCeCXj,Team avkZKsF,Team yXCeCXj
Team zeNgyHB vs Team MBDVTIo,Team zeNgyHB,Team MBDVTIo
Team ZFYRdfl vs Team nzKEuQx,Team nzKEuQx,Team ZFYRdfl
Team TTNLOjb vs Team avkZKsF,Team avkZKsF,Team TTNLOjb
Team TTNLOjb vs Team clXHhqJ,Team clXHhqJ,Team TTNLOjb
Team TTNLOjb vs Team GrqBIOA,Team TTNLOjb,Team GrqBIOA
Team xxCYTZJ vs Team zeNgyHB,Team xxCYTZJ,Team zeNgyHB
Team xxCYTZJ vs Team YwJmoRM,Team xxCYTZJ,Team YwJmoRM
Team ZFYRdfl vs Team YwJmoRM,Team ZFYRdfl,Team YwJmoRM
Team MNhUGKJ vs Team gLDKnRu,Team gLDKnRu,Team MNhUGKJ
Team zeNgyHB vs Team nzKEuQx,Team zeNgyHB,Team nzKEuQx
Team xxCYTZJ vs Team XpiFjKz,Team xxCYTZJ,Team XpiFjKz
Team IozDjEH vs Team nzKEuQx,Team IozDjEH,Team nzKEuQx
Team NxbxepJ vs Team yXCeCXj,Team NxbxepJ,Team yXCeCXj
Team nzKEuQx vs Team XpiFjKz,Team nzKEuQx,Team XpiFjKz
Team TTNLOjb vs Team OLXVBhy,Team OLXVBhy,Team TTNLOjb
Team xxCYTZJ vs Team lHgDvZk,Team xxCYTZJ,Team lHgDvZk
Team PuLTlMy vs Team yXCeCXj,Team yXCeCXj,Team PuLTlMy
Team lHgDvZk vs Team OLXVBhy,Team OLXVBhy,Team lHgDvZk
Team MBDVTIo vs Team hTrTWxw,Team MBDVTIo,Team hTrTWxw
Team IozDjEH vs Team YwJmoRM,Team YwJmoRM,Team IozDjEH
Team nzKEuQx vs Team yXCeCXj,Team yXCeCXj,Team nzKEuQx
Team nzKEuQx vs Team NxbxepJ,Team nzKEuQx,Team NxbxepJ
Team TTNLOjb vs Team NxbxepJ,Team TTNLOjb,Team NxbxepJ
Team xxCYTZJ vs Team avkZKsF,Team xxCYTZJ,Team avkZKsF
Team zeNgyHB vs Team avkZKsF,Team zeNgyHB,Team avkZKsF
Team clXHhqJ vs Team PuLTlMy,Team PuLTlMy,Team clXHhqJ
Team clXHhqJ vs Team IozDjEH,Team clXHhqJ,Team IozDjEH
Team NxbxepJ vs Team avkZKsF,Team NxbxepJ,Team avkZKsF
Team ZFYRdfl vs Team lHgDvZk,Team lHgDvZk,Team ZFYRdfl
Team lHgDvZk vs Team YwJmoRM,Team lHgDvZk,Team YwJmoRM
Team TTNLOjb vs Team nzKEuQx,Team TTNLOjb,Team nzKEuQx
Team IozDjEH vs Team gLDKnRu,Team IozDjEH,Team gLDKnRu
Team YwJmoRM vs Team MBDVTIo,Team YwJmoRM,Team MBDVTIo
Team TTNLOjb vs Team IozDjEH,Team IozDjEH,Team TTNLOjb
Team OLXVBhy vs Team MBDVTIo,Team MBDVTIo,Team OLXVBhy
Team IozDjEH vs Team lHgDvZk,Team IozDjEH,Team lHgDvZk
Team xxCYTZJ vs Team OLXVBhy,Team OLXVBhy,Team xxCYTZJ
Team IozDjEH vs Team zeNgyHB,Team IozDjEH,Team zeNgyHB
Team TTNLOjb vs Team hTrTWxw,Team hTrTWxw,Team TTNLOjb
Team hTrTWxw vs Team yXCeCXj,Team hTrTWxw,Team yXCeCXj
Team YwJmoRM vs Team nzKEuQx,Team YwJmoRM,Team nzKEuQx
Team TTNLOjb vs Team MNhUGKJ,Team MNhUGKJ,Team TTNLOjb
Team ZFYRdfl vs Team yXCeCXj,Team ZFYRdfl,Team yXCeCXj
Team PuLTlMy vs Team MBDVTIo,Team MBDVTIo,Team PuLTlMy
Team zeNgyHB vs Team XpiFjKz,Team zeNgyHB,Team XpiFjKz
Team GrqBIOA vs Team yXCeCXj,Team yXCeCXj,Team GrqBIOA
Team ZFYRdfl vs Team TTNLOjb,Team TTNLOjb,Team ZFYRdfl
Team lHgDvZk vs Team avkZKsF,Team lHgDvZk,Team avkZKsF
Team gLDKnRu vs Team lHgDvZk,Team lHgDvZk,Team gLDKnRu
Team yXCeCXj vs Team XpiFjKz,Team XpiFjKz,Team yXCeCXj
Team OLXVBhy vs Team GrqBIOA,Team GrqBIOA,Team OLXVBhy
Team clXHhqJ vs Team lHgDvZk,Team clXHhqJ,Team lHgDvZk
Team clXHhqJ vs Team YwJmoRM,Team YwJmoRM,Team clXHhqJ
Team MNhUGKJ vs Team NxbxepJ,Team NxbxepJ,Team MNhUGKJ
Team zeNgyHB vs Team hTrTWxw,Team zeNgyHB,Team hTrTWxw
Team MNhUGKJ vs Team zeNgyHB,Team MNhUGKJ,Team zeNgyHB
Team clXHhqJ vs Team MBDVTIo,Team MBDVTIo,Team clXHhqJ
Team PuLTlMy vs Team avkZKsF,Team PuLTlMy,Team avkZKsF
Team MBDVTIo vs Team XpiFjKz,Team XpiFjKz,Team MBDVTIo
Team lHgDvZk vs Team XpiFjKz,Team XpiFjKz,Team lHgDvZk
Team IozDjEH vs Team NxbxepJ,Team IozDjEH,Team NxbxepJ
Team YwJmoRM vs Team hTrTWxw,Team hTrTWxw,Team YwJmoRM
Team lHgDvZk vs Team GrqBIOA,Team lHgDvZk,Team GrqBIOA
Team ZFYRdfl vs Team xxCYTZJ,Team xxCYTZJ,Team ZFYRdfl
Team GrqBIOA vs Team avkZKsF,Team GrqBIOA,Team avkZKsF
Team IozDjEH vs Team XpiFjKz,Team IozDjEH,Team XpiFjKz
Team zeNgyHB vs Team yXCeCXj,Team yXCeCXj,Team zeNgyHB
Team xxCYTZJ vs Team GrqBIOA,Team GrqBIOA,Team xxCYTZJ
Team PuLTlMy vs Team XpiFjKz,Team PuLTlMy,Team XpiFjKz
Team xxCYTZJ vs Team MNhUGKJ,Team xxCYTZJ,Team MNhUGKJ
Team ZFYRdfl vs Team avkZKsF,Team ZFYRdfl,Team avkZKsF
Team MBDVTIo vs Team yXCeCXj,Team yXCeCXj,Team MBDVTIo
Team gLDKnRu vs Team NxbxepJ,Team NxbxepJ,Team gLDKnRu
Team MBDVTIo vs Team NxbxepJ,Team NxbxepJ,Team MBDVTIo
Team clXHhqJ vs Team gLDKnRu,Team clXHhqJ,Team gLDKnRu
Team hTrTWxw vs Team XpiFjKz,Team hTrTWxw,Team XpiFjKz
Team gLDKnRu vs Team avkZKsF,Team avkZKsF,Team gLDKnRu
Team lHgDvZk vs Team hTrTWxw,Team lHgDvZk,Team hTrTWxw
Team clXHhqJ vs Team nzKEuQx,Team nzKEuQx,Team clXHhqJ
Team YwJmoRM vs Team yXCeCXj,Team yXCeCXj,Team YwJmoRM
Team MNhUGKJ vs Team avkZKsF,Team MNhUGKJ,Team avkZKsF
Team MNhUGKJ vs Team GrqBIOA,Team GrqBIOA,Team MNhUGKJ
Team MNhUGKJ vs Team YwJmoRM,Team MNhUGKJ,Team YwJmoRM
Team gLDKnRu vs Team yXCeCXj,Team yXCeCXj,Team gLDKnRu
Team GrqBIOA vs Team nzKEuQx,Team nzKEuQx,Team GrqBIOA
Team gLDKnRu vs Team hTrTWxw,Team hTrTWxw,Team gLDKnRu
Team YwJmoRM vs Team avkZKsF,Team YwJmoRM,Team avkZKsF
Team MNhUGKJ vs Team nzKEuQx,Team nzKEuQx,Team MNhUGKJ
Team MNhUGKJ vs Team XpiFjKz,Team XpiFjKz,Team MNhUGKJ
Team ZFYRdfl vs Team MBDVTIo,Team ZFYRdfl,Team MBDVTIo
Team OLXVBhy vs Team nzKEuQx,Team nzKEuQx,Team OLXVBhy
Team YwJmoRM vs Team GrqBIOA,Team YwJmoRM,Team GrqBIOA
Team gLDKnRu vs Team nzKEuQx,Team gLDKnRu,Team nzKEuQx
Team PuLTlMy vs Team OLXVBhy,Team OLXVBhy,Team PuLTlMy
Team MNhUGKJ vs Team MBDVTIo,Team MNhUGKJ,Team MBDVTIo
Team TTNLOjb vs Team PuLTlMy,Team PuLTlMy,Team TTNLOjb
Team NxbxepJ vs Team hTrTWxw,Team hTrTWxw,Team NxbxepJ
Team NxbxepJ vs Team XpiFjKz,Team XpiFjKz,Team NxbxepJ
Team lHgDvZk vs Team nzKEuQx,Team lHgDvZk,Team nzKEuQx
Team clXHhqJ vs Team hTrTWxw,Team hTrTWxw,Team clXHhqJ
Team clXHhqJ vs Team MNhUGKJ,Team clXHhqJ,Team MNhUGKJ
Team TTNLOjb vs Team zeNgyHB,Team zeNgyHB,Team TTNLOjb
Team clXHhqJ vs Team OLXVBhy,Team clXHhqJ,Team OLXVBhy
Team xxCYTZJ vs Team yXCeCXj,Team yXCeCXj,Team xxCYTZJ
Team clXHhqJ vs Team NxbxepJ,Team clXHhqJ,Team NxbxepJ
Team MNhUGKJ vs Team OLXVBhy,Team OLXVBhy,Team MNhUGKJ
Team PuLTlMy vs Team gLDKnRu,Team PuLTlMy,Team gLDKnRu
Team TTNLOjb vs Team MBDVTIo,Team TTNLOjb,Team MBDVTIo
Team IozDjEH vs Team MNhUGKJ,Team MNhUGKJ,Team IozDjEH
Team MNhUGKJ vs Team yXCeCXj,Team MNhUGKJ,Team yXCeCXj
Team IozDjEH vs Team avkZKsF,Team IozDjEH,Team avkZKsF
Team gLDKnRu vs Team OLXVBhy,Team OLXVBhy,Team gLDKnRu
Team GrqBIOA vs Team NxbxepJ,Team NxbxepJ,Team GrqBIOA
Team ZFYRdfl vs Team gLDKnRu,Team ZFYRdfl,Team gLDKnRu
Team lHgDvZk vs Team NxbxepJ,Team NxbxepJ,Team lHgDvZk
Team MBDVTIo vs Team avkZKsF,Team avkZKsF,Team MBDVTIo
Team avkZKsF vs Team XpiFjKz,Team XpiFjKz,Team avkZKsF
Team YwJmoRM vs Team XpiFjKz,Team XpiFjKz,Team YwJmoRM
Team OLXVBhy vs Team avkZKsF,Team OLXVBhy,Team avkZKsF
Team IozDjEH vs Team hTrTWxw,Team hTrTWxw,Team IozDjEH
Team clXHhqJ vs Team avkZKsF,Team avkZKsF,Team clXHhqJ
Team ZFYRdfl vs Team clXHhqJ,Team ZFYRdfl,Team clXHhqJ
Team zeNgyHB vs Team NxbxepJ,Team zeNgyHB,Team NxbxepJ
Team MNhUGKJ vs Team lHgDvZk,Team lHgDvZk,Team MNhUGKJ
Team PuLTlMy vs Team lHgDvZk,Team PuLTlMy,Team lHgDvZk
Team lHgDvZk vs Team MBDVTIo,Team MBDVTIo,Team lHgDvZk
Team xxCYTZJ vs Team MBDVTIo,Team xxCYTZJ,Team MBDVTIo
Team OLXVBhy vs Team XpiFjKz,Team OLXVBhy,Team XpiFjKz
Team clXHhqJ vs Team XpiFjKz,Team clXHhqJ,Team XpiFjKz
Team PuLTlMy vs Team zeNgyHB,Team zeNgyHB,Team PuLTlMy
Team xxCYTZJ vs Team gLDKnRu,Team xxCYTZJ,Team gLDKnRu
Team IozDjEH vs Team GrqBIOA,Team GrqBIOA,Team IozDjEH
Team PuLTlMy vs Team MNhUGKJ,Team PuLTlMy,Team MNhUGKJ
Team gLDKnRu vs Team MBDVTIo,Team gLDKnRu,Team MBDVTIo
Team gLDKnRu vs Team XpiFjKz,Team XpiFjKz,Team gLDKnRu
Team TTNLOjb vs Team yXCeCXj,Team TTNLOjb,Team yXCeCXj
Team zeNgyHB vs Team OLXVBhy,Team OLXVBhy,Team zeNgyHB
Team clXHhqJ vs Team yXCeCXj,Team clXHhqJ,Team yXCeCXj
Team PuLTlMy vs Team xxCYTZJ,Team xxCYTZJ,Team PuLTlMy
Team nzKEuQx vs Team MBDVTIo,Team MBDVTIo,Team nzKEuQx
Team OLXVBhy vs Team NxbxepJ,Team NxbxepJ,Team OLXVBhy
Team nzKEuQx vs Team hTrTWxw,Team hTrTWxw,Team nzKEuQx
Team TTNLOjb vs Team gLDKnRu,Team TTNLOjb,Team gLDKnRu
Team OLXVBhy vs Team YwJmoRM,Team OLXVBhy,Team YwJmoRM
Team zeNgyHB vs Team lHgDvZk,Team zeNgyHB,Team lHgDvZk
Team PuLTlMy vs Team hTrTWxw,Team PuLTlMy,Team hTrTWxw
Team clXHhqJ vs Team zeNgyHB,Team clXHhqJ,Team zeNgyHB
Team MNhUGKJ vs Team hTrTWxw,Team MNhUGKJ,Team hTrTWxw
Team TTNLOjb vs Team xxCYTZJ,Team TTNLOjb,Team xxCYTZJ
Team IozDjEH vs Team yXCeCXj,Team IozDjEH,Team yXCeCXj
Team ZFYRdfl vs Team MNhUGKJ,Team ZFYRdfl,Team MNhUGKJ
Team TTNLOjb vs Team XpiFjKz,Team TTNLOjb,Team XpiFjKz
Team ZFYRdfl vs Team NxbxepJ,Team NxbxepJ,Team ZFYRdfl
Team PuLTlMy vs Team IozDjEH,Team PuLTlMy,Team IozDjEH
Team TTNLOjb vs Team lHgDvZk,Team TTNLOjb,Team lHgDvZk
Team clXHhqJ vs Team xxCYTZJ,Team clXHhqJ,Team xxCYTZJ
Team IozDjEH vs Team OLXVBhy,Team IozDjEH,Team OLXVBhy
Team lHgDvZk vs Team yXCeCXj,Team yXCeCXj,Team lHgDvZk
Team PuLTlMy vs Team GrqBIOA,Team PuLTlMy,Team GrqBIOA
Team zeNgyHB vs Team YwJmoRM,Team YwJmoRM,Team zeNgyHB
Team xxCYTZJ vs Team gLDKnRu,Team xxCYTZJ,Team gLDKnRu
Team zeNgyHB vs Team hTrTWxw,Team zeNgyHB,Team hTrTWxw
Team hTrTWxw vs Team lHgDvZk,Team lHgDvZk,Team hTrTWxw
Team MNhUGKJ vs Team NxbxepJ,Team MNhUGKJ,Team NxbxepJ
Team hTrTWxw vs Team MNhUGKJ,Team MNhUGKJ,Team hTrTWxw
Team clXHhqJ vs Team hTrTWxw,Team hTrTWxw,Team clXHhqJ
Team nzKEuQx vs Team NxbxepJ,Team nzKEuQx,Team NxbxepJ
Team PuLTlMy vs Team IozDjEH,Team IozDjEH,Team PuLTlMy
Team hTrTWxw vs Team OLXVBhy,Team hTrTWxw,Team OLXVBhy
Team nzKEuQx vs Team NxbxepJ,Team nzKEuQx,Team NxbxepJ
